ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
4018,3821,340,360,1,Male,Yes,2,Not Graduate,Yes,Rural,Not Approved
12963,5062,466,360,0,Female,No,3+,Graduate,Yes,Urban,Not Approved
8578,3377,427,12,1,Female,Yes,3+,Graduate,No,Semiurban,Approved
6701,8389,184,120,1,Female,No,2,Not Graduate,Yes,Rural,Not Approved
6782,2552,437,240,0,Male,No,3+,Graduate,Yes,Semiurban,Approved
16063,9307,160,36,1,Female,No,2,Not Graduate,No,Urban,Not Approved
2114,57,64,12,0,Female,No,3+,Graduate,No,Semiurban,Approved
7719,1212,483,36,0,Male,Yes,0,Graduate,No,Urban,Approved
12839,3616,66,240,0,Female,Yes,3+,Graduate,No,Rural,Not Approved
13086,3864,195,60,0,Male,Yes,2,Graduate,No,Semiurban,Approved
14022,5287,114,36,0,Male,Yes,2,Graduate,Yes,Urban,Not Approved
19145,8977,443,120,0,Female,Yes,2,Not Graduate,No,Semiurban,Not Approved
19557,9550,252,36,0,Female,No,2,Graduate,Yes,Semiurban,Not Approved
17571,7820,415,60,1,Female,Yes,3+,Not Graduate,No,Semiurban,Not Approved
14766,7999,415,360,0,Male,Yes,1,Graduate,Yes,Semiurban,Not Approved
11566,4332,78,60,0,Female,Yes,1,Graduate,No,Rural,Approved
7820,5929,305,240,0,Female,Yes,2,Graduate,Yes,Semiurban,Not Approved
3583,2441,369,120,1,Male,No,0,Graduate,Yes,Urban,Approved
4706,5156,472,36,0,Female,No,0,Graduate,Yes,Semiurban,Not Approved
17722,1482,129,60,1,Male,Yes,1,Graduate,No,Urban,Not Approved
10552,8945,481,36,0,Female,No,3+,Not Graduate,Yes,Semiurban,Not Approved
6792,4300,172,60,1,Male,No,2,Graduate,Yes,Urban,Not Approved
18122,3323,139,12,0,Male,Yes,1,Graduate,Yes,Semiurban,Not Approved
4077,6543,310,120,0,Female,Yes,3+,Not Graduate,Yes,Rural,Not Approved
14799,1096,324,120,0,Male,No,1,Graduate,No,Rural,Approved
18694,5310,86,120,1,Male,No,0,Not Graduate,Yes,Rural,Approved
6468,9769,157,60,0,Male,Yes,2,Not Graduate,Yes,Urban,Approved
13089,3513,143,60,1,Male,Yes,2,Not Graduate,No,Semiurban,Approved
11024,6797,233,12,0,Female,Yes,3+,Not Graduate,Yes,Urban,Not Approved
19557,2029,278,12,0,Female,Yes,2,Graduate,No,Rural,Not Approved
15134,4486,209,36,0,Male,Yes,3+,Not Graduate,No,Urban,Approved
3894,3798,369,12,1,Female,Yes,0,Not Graduate,No,Rural,Not Approved
14821,3921,310,360,1,Male,No,3+,Graduate,No,Rural,Not Approved
9039,5288,298,36,0,Female,Yes,0,Graduate,No,Urban,Approved
11331,6503,218,240,0,Female,No,3+,Not Graduate,Yes,Rural,Approved
14765,4876,129,12,1,Male,Yes,1,Not Graduate,No,Urban,Not Approved
5409,5664,432,12,0,Female,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
7517,9870,212,36,0,Female,No,2,Graduate,No,Urban,Approved
5975,5779,213,60,0,Female,Yes,3+,Not Graduate,Yes,Urban,Approved
18481,9765,384,36,1,Male,No,2,Graduate,No,Semiurban,Approved
19728,7559,124,120,0,Female,Yes,2,Not Graduate,No,Rural,Approved
7430,2638,86,36,1,Male,Yes,2,Not Graduate,Yes,Semiurban,Approved
5334,3807,282,36,1,Male,No,3+,Graduate,Yes,Rural,Not Approved
8762,6072,348,360,1,Female,No,3+,Graduate,No,Urban,Not Approved
19426,3227,166,60,1,Male,Yes,1,Graduate,No,Semiurban,Approved
4840,6159,449,12,0,Female,Yes,2,Graduate,Yes,Urban,Approved
16928,4148,369,60,0,Male,Yes,2,Not Graduate,Yes,Urban,Not Approved
2866,792,300,12,1,Male,Yes,0,Graduate,Yes,Semiurban,Not Approved
11078,2307,299,120,0,Male,No,0,Not Graduate,No,Rural,Approved
19809,8750,194,120,1,Male,Yes,1,Not Graduate,Yes,Semiurban,Approved
19350,6493,355,36,0,Female,Yes,2,Graduate,No,Urban,Not Approved
9683,1472,124,240,0,Female,No,2,Not Graduate,No,Semiurban,Approved
2029,6068,385,120,1,Male,No,1,Not Graduate,No,Rural,Not Approved
18612,5824,330,120,0,Female,Yes,2,Graduate,Yes,Urban,Approved
8855,4907,231,12,1,Female,Yes,1,Not Graduate,Yes,Rural,Not Approved
12710,3351,480,60,0,Female,Yes,2,Not Graduate,No,Semiurban,Not Approved
3995,8378,259,240,0,Female,No,0,Graduate,No,Urban,Approved
18239,5456,397,360,1,Female,No,3+,Not Graduate,Yes,Semiurban,Not Approved
17230,3246,82,120,1,Male,Yes,0,Not Graduate,No,Urban,Approved
4671,5318,302,60,1,Male,No,0,Not Graduate,Yes,Urban,Not Approved
17132,9073,294,36,0,Male,Yes,1,Not Graduate,No,Rural,Approved
5014,9298,59,36,0,Female,No,3+,Not Graduate,No,Semiurban,Approved
8626,6302,108,60,0,Female,No,0,Not Graduate,Yes,Semiurban,Approved
13305,775,197,12,0,Female,Yes,3+,Graduate,Yes,Semiurban,Not Approved
6549,8358,269,36,1,Female,Yes,0,Not Graduate,No,Urban,Not Approved
9358,7077,172,360,1,Female,Yes,1,Not Graduate,No,Urban,Approved
3123,4942,152,240,0,Female,No,3+,Graduate,No,Rural,Approved
2230,5830,281,12,1,Male,No,1,Graduate,Yes,Urban,Not Approved
16133,4967,358,360,1,Female,No,0,Not Graduate,No,Semiurban,Not Approved
14338,6585,429,120,0,Female,Yes,2,Not Graduate,No,Rural,Not Approved
2320,8977,408,12,1,Male,No,3+,Graduate,No,Rural,Approved
19605,2363,184,36,0,Male,Yes,1,Graduate,No,Rural,Approved
11392,2905,310,36,1,Female,Yes,2,Not Graduate,No,Rural,Not Approved
5267,9136,289,240,1,Male,Yes,3+,Graduate,Yes,Rural,Not Approved
17877,6657,360,240,1,Female,No,3+,Not Graduate,No,Urban,Not Approved
15446,6066,277,240,1,Female,No,2,Graduate,No,Rural,Approved
17824,6733,358,12,1,Female,Yes,1,Graduate,Yes,Rural,Not Approved
11974,6337,294,120,1,Female,No,2,Not Graduate,Yes,Rural,Not Approved
4255,2965,255,60,0,Female,No,2,Graduate,Yes,Rural,Approved
18922,361,81,60,0,Male,Yes,1,Not Graduate,No,Rural,Not Approved
3569,3787,274,360,1,Female,No,0,Graduate,No,Rural,Not Approved
7499,5971,377,240,1,Female,Yes,3+,Not Graduate,No,Urban,Not Approved
9033,2802,74,120,0,Female,No,1,Not Graduate,No,Semiurban,Approved
14561,6849,198,360,0,Male,No,0,Not Graduate,No,Urban,Not Approved
8136,3765,97,240,1,Male,Yes,3+,Not Graduate,No,Rural,Approved
14489,7160,434,36,0,Female,Yes,0,Graduate,No,Semiurban,Not Approved
17561,8742,280,120,1,Male,Yes,0,Not Graduate,Yes,Semiurban,Not Approved
17545,6934,75,360,1,Female,No,1,Graduate,Yes,Semiurban,Not Approved
13061,8746,85,360,0,Male,Yes,2,Graduate,No,Semiurban,Approved
3941,2397,79,360,1,Female,No,3+,Not Graduate,No,Urban,Approved
14720,3610,425,360,1,Male,No,1,Graduate,Yes,Rural,Approved
12412,8902,318,360,1,Male,No,3+,Graduate,No,Semiurban,Not Approved
8752,3960,158,360,1,Female,No,2,Graduate,Yes,Urban,Approved
5089,8347,485,240,0,Male,No,3+,Graduate,No,Urban,Not Approved
14696,8086,173,36,0,Male,Yes,2,Not Graduate,Yes,Semiurban,Not Approved
2264,7401,95,60,0,Female,No,2,Graduate,No,Urban,Not Approved
19538,8946,218,36,0,Female,No,3+,Graduate,Yes,Urban,Not Approved
2369,522,156,60,1,Female,Yes,3+,Not Graduate,Yes,Urban,Not Approved
12287,4697,242,120,1,Female,No,3+,Graduate,No,Rural,Approved
17213,6179,405,36,1,Female,Yes,3+,Not Graduate,Yes,Semiurban,Approved
16447,6900,288,36,0,Female,No,0,Graduate,Yes,Urban,Not Approved
4440,186,336,120,1,Male,No,3+,Graduate,No,Urban,Approved
3341,3979,477,36,1,Male,No,3+,Graduate,No,Semiurban,Approved
17697,5180,286,240,0,Male,Yes,3+,Graduate,No,Urban,Approved
19991,1463,256,240,0,Female,Yes,0,Graduate,Yes,Rural,Not Approved
5815,6987,449,60,0,Female,No,2,Graduate,No,Rural,Not Approved
8869,9125,428,60,1,Female,No,2,Graduate,Yes,Urban,Approved
3990,3292,138,240,1,Female,No,2,Graduate,No,Urban,Not Approved
16586,8855,450,12,1,Male,No,1,Graduate,Yes,Urban,Approved
5813,3609,284,36,1,Female,No,2,Not Graduate,Yes,Urban,Approved
3875,8208,88,240,1,Male,No,3+,Graduate,No,Semiurban,Not Approved
8528,8414,373,120,0,Male,Yes,0,Not Graduate,Yes,Urban,Approved
18194,523,265,12,1,Male,Yes,3+,Not Graduate,No,Urban,Not Approved
12820,7657,358,36,1,Female,Yes,2,Graduate,No,Semiurban,Not Approved
9201,884,368,12,1,Female,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
17495,998,290,36,0,Male,Yes,3+,Graduate,No,Rural,Approved
18372,7563,413,36,1,Female,No,2,Graduate,Yes,Semiurban,Not Approved
11440,6489,348,120,0,Male,No,1,Not Graduate,No,Semiurban,Not Approved
18720,2754,303,360,0,Male,Yes,1,Not Graduate,Yes,Rural,Approved
13322,7738,92,36,1,Male,No,0,Not Graduate,No,Rural,Not Approved
7291,8232,268,12,0,Female,Yes,2,Not Graduate,No,Urban,Approved
9539,7029,463,360,0,Female,No,1,Not Graduate,No,Semiurban,Approved
12986,3458,378,60,0,Male,Yes,3+,Not Graduate,Yes,Urban,Not Approved
17609,4080,60,36,0,Female,Yes,1,Graduate,No,Urban,Not Approved
17986,9521,86,240,0,Female,No,2,Graduate,Yes,Urban,Not Approved
13892,9822,64,240,1,Male,No,1,Graduate,No,Rural,Not Approved
12600,2772,495,240,0,Male,No,1,Graduate,No,Rural,Approved
18414,9181,500,360,1,Female,No,2,Not Graduate,Yes,Rural,Approved
19115,8870,312,360,1,Female,Yes,1,Graduate,Yes,Urban,Approved
19727,3876,306,12,1,Female,Yes,0,Graduate,No,Urban,Not Approved
10488,4240,91,60,0,Male,No,0,Graduate,Yes,Semiurban,Not Approved
10602,1013,351,12,0,Male,No,0,Graduate,No,Semiurban,Not Approved
12033,8382,402,12,1,Female,No,0,Graduate,Yes,Semiurban,Not Approved
7390,4300,175,120,0,Female,Yes,1,Not Graduate,Yes,Semiurban,Approved
11343,3220,58,36,1,Male,Yes,1,Not Graduate,Yes,Urban,Not Approved
8073,8002,424,240,0,Female,Yes,0,Not Graduate,No,Urban,Approved
17744,9043,246,360,1,Male,No,1,Graduate,Yes,Rural,Approved
11490,2000,148,60,1,Male,Yes,1,Not Graduate,No,Semiurban,Approved
9541,9244,385,120,0,Male,No,1,Not Graduate,Yes,Semiurban,Approved
15395,4555,499,360,0,Female,No,3+,Not Graduate,Yes,Rural,Approved
2547,7202,496,60,0,Male,No,3+,Graduate,Yes,Semiurban,Not Approved
4878,2743,432,60,0,Female,No,1,Not Graduate,Yes,Rural,Approved
12136,7043,298,360,0,Female,No,0,Not Graduate,Yes,Semiurban,Approved
18754,6428,354,240,0,Male,Yes,1,Not Graduate,Yes,Semiurban,Not Approved
10066,8306,295,12,0,Female,No,3+,Not Graduate,No,Urban,Approved
19618,6828,367,60,1,Male,No,0,Not Graduate,Yes,Urban,Approved
17901,6137,318,36,1,Male,No,0,Graduate,No,Semiurban,Not Approved
8924,378,327,60,1,Female,No,0,Not Graduate,No,Urban,Approved
16973,7446,461,36,1,Female,No,2,Not Graduate,Yes,Rural,Approved
16171,7658,342,36,1,Male,No,0,Not Graduate,Yes,Rural,Not Approved
2149,1400,448,12,0,Male,No,3+,Not Graduate,No,Urban,Not Approved
19551,9374,326,36,1,Female,No,2,Graduate,No,Semiurban,Approved
9165,4545,153,12,1,Male,No,3+,Not Graduate,No,Rural,Approved
5639,5591,343,12,0,Female,No,2,Graduate,No,Rural,Approved
4840,5881,83,36,1,Male,Yes,3+,Graduate,No,Urban,Approved
15986,1323,256,120,1,Male,No,3+,Graduate,Yes,Semiurban,Not Approved
13191,7470,489,240,1,Female,No,2,Graduate,Yes,Urban,Approved
16467,2846,169,240,0,Female,No,0,Graduate,Yes,Urban,Approved
6808,2867,404,360,0,Female,No,2,Graduate,No,Rural,Not Approved
5440,2406,317,120,1,Female,No,3+,Graduate,Yes,Semiurban,Approved
10603,9946,97,240,0,Female,Yes,0,Graduate,Yes,Urban,Not Approved
10861,1979,499,60,1,Female,No,1,Graduate,Yes,Rural,Approved
2520,9798,276,120,0,Male,No,1,Graduate,No,Semiurban,Not Approved
19404,6008,395,36,1,Male,Yes,1,Not Graduate,No,Rural,Approved
16879,1959,414,36,1,Male,No,3+,Graduate,Yes,Semiurban,Approved
4333,1348,175,240,1,Male,Yes,2,Not Graduate,No,Urban,Approved
13255,3744,173,240,0,Male,Yes,3+,Graduate,No,Rural,Approved
14120,489,110,36,1,Female,Yes,1,Not Graduate,Yes,Urban,Not Approved
16221,8684,200,36,1,Male,Yes,1,Graduate,No,Rural,Approved
19823,4389,410,36,0,Female,Yes,3+,Not Graduate,No,Semiurban,Approved
12463,3008,184,60,1,Male,No,0,Not Graduate,No,Semiurban,Approved
5894,6021,312,12,0,Female,No,3+,Graduate,Yes,Urban,Approved
19415,6899,443,360,1,Female,Yes,1,Not Graduate,No,Urban,Approved
12872,7873,498,12,0,Male,Yes,2,Not Graduate,Yes,Urban,Not Approved
4594,1243,297,60,1,Male,Yes,3+,Graduate,Yes,Urban,Not Approved
9999,7858,161,120,1,Male,Yes,2,Graduate,No,Urban,Approved
9774,1771,197,36,0,Male,No,1,Graduate,Yes,Semiurban,Not Approved
11701,2080,480,12,0,Female,No,2,Not Graduate,No,Urban,Not Approved
12203,734,196,36,0,Male,Yes,2,Not Graduate,Yes,Urban,Not Approved
3261,207,160,360,1,Male,Yes,0,Not Graduate,Yes,Rural,Approved
12041,9987,493,60,0,Female,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
2493,1654,290,36,1,Female,No,3+,Not Graduate,Yes,Semiurban,Not Approved
2639,2316,249,360,1,Male,Yes,1,Not Graduate,No,Rural,Approved
11471,1937,199,240,1,Female,Yes,3+,Not Graduate,No,Urban,Not Approved
12456,5984,119,12,0,Male,Yes,2,Graduate,Yes,Rural,Not Approved
4533,5307,222,12,1,Female,Yes,2,Not Graduate,No,Urban,Approved
2513,6305,495,36,0,Female,Yes,0,Not Graduate,Yes,Semiurban,Not Approved
2709,9433,279,60,0,Male,Yes,1,Graduate,No,Urban,Approved
16555,6665,243,60,0,Male,Yes,0,Graduate,Yes,Rural,Approved
3099,8997,158,60,1,Male,No,0,Not Graduate,No,Semiurban,Not Approved
6032,4267,197,360,0,Female,Yes,1,Graduate,Yes,Semiurban,Approved
3131,8511,174,240,0,Male,No,3+,Not Graduate,Yes,Rural,Approved
9007,9874,494,240,1,Female,Yes,3+,Graduate,Yes,Semiurban,Approved
12145,7608,145,36,0,Male,No,0,Graduate,No,Rural,Approved
15266,5420,211,12,0,Male,No,3+,Not Graduate,Yes,Urban,Approved
5659,4707,329,360,0,Male,No,2,Graduate,No,Rural,Not Approved
10780,3054,355,360,0,Female,No,2,Not Graduate,Yes,Rural,Not Approved
4221,6473,263,60,1,Female,Yes,0,Graduate,Yes,Semiurban,Approved
16548,1415,492,36,1,Male,No,1,Not Graduate,No,Semiurban,Not Approved
15845,7351,195,12,0,Male,No,3+,Not Graduate,No,Rural,Approved
15186,5624,62,60,1,Male,No,0,Graduate,No,Semiurban,Approved
9938,492,187,240,0,Female,Yes,2,Not Graduate,Yes,Urban,Not Approved
8799,523,187,240,1,Female,No,0,Not Graduate,Yes,Semiurban,Approved
11921,9143,260,240,0,Male,Yes,3+,Not Graduate,Yes,Semiurban,Not Approved
15511,6074,323,240,0,Female,Yes,1,Not Graduate,No,Rural,Not Approved
18556,5895,102,240,0,Male,Yes,2,Graduate,No,Semiurban,Approved
5770,5046,331,36,0,Female,No,0,Not Graduate,No,Urban,Approved
8816,4229,64,12,1,Female,Yes,3+,Graduate,No,Urban,Not Approved
6970,1170,198,120,1,Female,No,0,Not Graduate,No,Rural,Not Approved
16600,5494,330,240,0,Female,Yes,0,Graduate,No,Semiurban,Not Approved
15019,9967,457,240,1,Male,No,0,Not Graduate,Yes,Rural,Approved
3613,7340,115,12,0,Female,No,3+,Not Graduate,No,Semiurban,Not Approved
12229,6673,59,60,0,Male,No,3+,Not Graduate,No,Rural,Approved
2042,2122,427,120,0,Male,Yes,1,Not Graduate,No,Urban,Approved
10847,437,441,60,1,Male,No,0,Graduate,Yes,Semiurban,Not Approved
5708,4243,172,240,1,Female,Yes,3+,Graduate,Yes,Rural,Not Approved
4106,2182,230,120,1,Female,No,3+,Not Graduate,No,Rural,Approved
9873,3615,392,120,1,Female,Yes,3+,Graduate,No,Urban,Approved
2253,587,447,120,1,Female,Yes,2,Not Graduate,Yes,Semiurban,Approved
10090,8050,386,240,0,Female,Yes,0,Not Graduate,No,Urban,Not Approved
10989,6044,327,36,1,Female,Yes,0,Graduate,Yes,Semiurban,Approved
9994,7267,372,12,0,Female,Yes,2,Not Graduate,Yes,Rural,Not Approved
13560,5409,195,240,0,Female,No,1,Graduate,Yes,Rural,Not Approved
16846,6093,153,12,1,Female,No,3+,Graduate,Yes,Semiurban,Approved
3553,5013,62,36,0,Female,No,0,Graduate,Yes,Semiurban,Approved
7784,2173,113,360,0,Female,Yes,3+,Graduate,Yes,Semiurban,Approved
16727,2358,225,12,0,Female,Yes,1,Not Graduate,No,Urban,Approved
10139,3930,478,360,1,Female,Yes,0,Not Graduate,Yes,Urban,Approved
10970,7660,79,360,0,Female,Yes,0,Not Graduate,No,Urban,Approved
5418,438,336,36,0,Female,Yes,2,Not Graduate,No,Rural,Not Approved
7076,9113,134,240,1,Male,Yes,1,Graduate,Yes,Semiurban,Not Approved
16017,726,397,240,0,Female,No,2,Graduate,Yes,Semiurban,Approved
3876,8454,324,120,1,Male,No,2,Not Graduate,Yes,Semiurban,Not Approved
10827,4464,439,240,1,Female,Yes,3+,Graduate,Yes,Urban,Approved
4689,4708,320,120,0,Male,Yes,0,Not Graduate,Yes,Semiurban,Approved
10745,8983,219,240,0,Male,Yes,1,Graduate,No,Rural,Not Approved
17178,7433,62,360,1,Female,No,2,Graduate,Yes,Urban,Not Approved
19659,4253,397,12,1,Female,Yes,3+,Not Graduate,No,Semiurban,Approved
9521,8535,174,360,0,Female,No,0,Not Graduate,No,Semiurban,Not Approved
18660,6390,279,12,1,Female,Yes,2,Graduate,Yes,Rural,Not Approved
19565,8113,340,120,0,Female,Yes,0,Not Graduate,Yes,Urban,Approved
9701,7551,268,240,0,Male,No,2,Graduate,Yes,Urban,Approved
9587,9042,372,120,1,Female,Yes,0,Graduate,No,Urban,Approved
10081,3208,185,240,0,Female,Yes,3+,Graduate,Yes,Urban,Not Approved
8360,3208,84,120,0,Male,No,0,Graduate,No,Semiurban,Not Approved
14126,5292,172,12,1,Female,Yes,2,Graduate,No,Urban,Approved
13166,5699,499,36,0,Female,Yes,1,Graduate,No,Rural,Approved
16975,9768,493,36,1,Female,No,0,Not Graduate,Yes,Rural,Approved
14269,5676,208,360,0,Male,No,2,Not Graduate,No,Urban,Approved
4370,6194,439,240,0,Male,No,0,Not Graduate,Yes,Rural,Approved
19914,3934,178,240,0,Male,No,1,Graduate,No,Rural,Approved
8414,4124,488,120,1,Female,Yes,2,Graduate,Yes,Semiurban,Approved
6660,793,291,240,0,Female,Yes,1,Graduate,No,Urban,Not Approved
9713,1511,483,360,1,Female,No,0,Graduate,Yes,Urban,Approved
7877,5694,78,240,0,Male,No,2,Not Graduate,No,Semiurban,Approved
5665,6425,135,360,1,Male,Yes,2,Graduate,Yes,Urban,Approved
17916,3343,381,120,1,Male,No,0,Not Graduate,Yes,Urban,Approved
19419,2196,190,360,0,Male,Yes,2,Not Graduate,No,Urban,Approved
5336,3443,112,360,0,Male,Yes,2,Not Graduate,Yes,Rural,Approved
8853,1977,73,360,0,Female,No,3+,Not Graduate,Yes,Rural,Approved
4520,4268,87,360,1,Male,No,3+,Graduate,No,Rural,Approved
11665,4097,143,120,1,Male,Yes,0,Graduate,Yes,Rural,Not Approved
9647,8128,311,120,1,Male,No,0,Graduate,No,Urban,Not Approved
13001,1727,156,12,1,Female,No,2,Not Graduate,Yes,Semiurban,Not Approved
8465,8851,268,240,0,Male,No,2,Not Graduate,Yes,Semiurban,Not Approved
11709,2371,297,360,0,Male,No,2,Graduate,Yes,Semiurban,Approved
6045,3344,149,36,1,Female,Yes,0,Graduate,Yes,Semiurban,Approved
8792,645,320,240,0,Female,No,0,Not Graduate,Yes,Rural,Not Approved
5669,2198,249,36,0,Male,No,0,Not Graduate,Yes,Rural,Approved
10677,960,213,240,1,Female,Yes,0,Graduate,No,Urban,Approved
18553,2399,363,60,0,Female,No,1,Not Graduate,No,Rural,Approved
6047,2455,242,120,0,Male,No,3+,Graduate,No,Rural,Not Approved
8234,5745,154,120,0,Male,No,0,Graduate,No,Semiurban,Approved
19207,5707,373,240,1,Male,No,0,Not Graduate,No,Rural,Approved
17914,1033,203,240,0,Male,Yes,3+,Not Graduate,No,Rural,Approved
10182,2816,53,360,0,Male,No,1,Not Graduate,Yes,Urban,Approved
13990,7089,182,360,1,Female,No,2,Not Graduate,Yes,Rural,Not Approved
9989,544,80,36,1,Male,No,1,Not Graduate,Yes,Rural,Not Approved
12348,449,284,60,0,Female,No,3+,Graduate,Yes,Rural,Not Approved
12028,9982,370,36,1,Male,No,1,Graduate,Yes,Semiurban,Not Approved
15644,4592,68,60,0,Male,Yes,2,Not Graduate,No,Urban,Approved
7691,3249,167,240,0,Female,No,0,Not Graduate,No,Urban,Not Approved
13564,4103,83,12,0,Male,Yes,1,Graduate,Yes,Urban,Not Approved
19199,9881,272,240,0,Female,Yes,2,Not Graduate,No,Semiurban,Approved
12728,3846,86,12,0,Male,Yes,0,Not Graduate,Yes,Urban,Approved
3403,1415,436,36,0,Female,No,1,Graduate,Yes,Semiurban,Approved
8034,7797,473,120,1,Female,Yes,1,Not Graduate,Yes,Rural,Approved
11635,4306,222,12,1,Female,Yes,1,Graduate,Yes,Rural,Not Approved
15209,5658,116,120,0,Male,Yes,3+,Graduate,No,Rural,Not Approved
13279,1414,168,12,0,Male,No,2,Graduate,No,Rural,Approved
13854,7468,52,120,1,Male,Yes,1,Graduate,Yes,Urban,Approved
10379,9088,469,240,1,Male,Yes,3+,Not Graduate,Yes,Urban,Not Approved
7005,7436,108,12,1,Male,No,3+,Graduate,No,Rural,Approved
9096,9357,230,60,1,Male,No,3+,Not Graduate,Yes,Semiurban,Approved
7562,7719,448,240,0,Female,Yes,0,Graduate,No,Semiurban,Approved
7024,3790,317,12,0,Female,No,1,Graduate,No,Rural,Approved
9847,2604,434,36,0,Male,No,3+,Graduate,Yes,Semiurban,Not Approved
2847,2595,476,60,0,Female,No,2,Graduate,Yes,Semiurban,Approved
6158,4597,295,360,0,Male,No,2,Graduate,No,Rural,Approved
11129,747,140,60,0,Female,No,0,Not Graduate,No,Semiurban,Approved
4590,2148,107,120,1,Male,No,2,Not Graduate,Yes,Rural,Approved
12188,816,91,12,0,Female,No,0,Not Graduate,No,Rural,Approved
8802,6044,258,120,0,Male,Yes,0,Graduate,No,Semiurban,Not Approved
2914,9580,459,240,1,Male,Yes,1,Not Graduate,Yes,Semiurban,Approved
7793,9414,454,360,0,Male,Yes,0,Graduate,No,Urban,Approved
17621,9130,291,120,1,Male,No,3+,Not Graduate,Yes,Rural,Not Approved
19791,1360,140,12,0,Male,Yes,2,Graduate,Yes,Semiurban,Not Approved
11065,809,155,36,1,Male,Yes,1,Graduate,No,Urban,Approved
6872,7932,487,60,1,Male,Yes,3+,Graduate,No,Semiurban,Not Approved
4380,5692,264,360,0,Female,Yes,0,Not Graduate,Yes,Urban,Not Approved
10841,5175,67,36,0,Female,No,2,Not Graduate,No,Rural,Approved
10645,4606,366,12,0,Female,Yes,2,Not Graduate,Yes,Semiurban,Approved
6810,8596,344,36,0,Male,No,2,Not Graduate,No,Semiurban,Not Approved
15614,7388,433,240,1,Male,Yes,3+,Graduate,No,Urban,Approved
12835,9612,358,360,0,Male,No,0,Not Graduate,No,Semiurban,Approved
5292,3449,235,240,0,Male,No,1,Graduate,No,Urban,Not Approved
17465,5565,62,120,0,Male,Yes,2,Not Graduate,Yes,Semiurban,Approved
17290,4041,306,36,0,Female,Yes,0,Graduate,No,Semiurban,Approved
18980,8856,480,360,1,Female,No,1,Graduate,No,Rural,Not Approved
5244,9517,438,240,0,Male,Yes,1,Graduate,No,Rural,Approved
3966,8356,230,120,1,Male,Yes,0,Not Graduate,Yes,Semiurban,Approved
9934,8978,446,60,1,Male,Yes,0,Graduate,Yes,Rural,Not Approved
7575,773,274,360,0,Female,Yes,3+,Graduate,No,Rural,Approved
2694,9578,457,36,0,Female,No,0,Graduate,Yes,Rural,Approved
14295,5891,70,12,0,Female,No,2,Not Graduate,No,Urban,Approved
5189,3292,64,36,1,Male,No,1,Graduate,Yes,Semiurban,Approved
5027,7206,156,12,0,Male,Yes,1,Graduate,Yes,Semiurban,Approved
14661,8255,199,12,0,Female,Yes,2,Not Graduate,Yes,Semiurban,Not Approved
3108,9302,429,240,1,Female,Yes,1,Graduate,Yes,Semiurban,Approved
5853,5048,399,12,0,Male,Yes,0,Not Graduate,Yes,Semiurban,Not Approved
16357,74,416,60,1,Female,No,2,Not Graduate,No,Semiurban,Not Approved
10858,6952,113,60,1,Male,No,2,Not Graduate,No,Rural,Approved
16945,5923,325,60,1,Female,No,2,Graduate,Yes,Rural,Approved
13442,1982,115,60,1,Female,No,1,Graduate,Yes,Rural,Not Approved
2279,8670,305,240,0,Female,Yes,3+,Graduate,Yes,Rural,Approved
16664,8712,366,12,0,Male,Yes,0,Not Graduate,Yes,Urban,Not Approved
15186,5928,315,360,1,Female,Yes,0,Not Graduate,No,Rural,Approved
14058,7414,188,12,0,Male,No,1,Not Graduate,Yes,Semiurban,Approved
14454,4650,337,36,0,Male,Yes,1,Graduate,Yes,Semiurban,Not Approved
18285,7851,469,60,0,Male,Yes,2,Not Graduate,Yes,Rural,Approved
16635,2577,134,120,0,Female,Yes,2,Graduate,Yes,Rural,Approved
7341,8607,204,60,1,Female,No,1,Graduate,No,Urban,Approved
11353,4170,395,60,0,Female,Yes,3+,Graduate,Yes,Rural,Approved
9959,7600,224,120,0,Male,No,0,Graduate,No,Semiurban,Not Approved
5162,6777,109,120,1,Male,Yes,2,Not Graduate,Yes,Rural,Not Approved
12321,8332,109,240,0,Male,No,3+,Graduate,Yes,Rural,Not Approved
12507,8021,448,36,0,Female,No,0,Not Graduate,No,Semiurban,Approved
15191,7676,284,36,1,Female,Yes,2,Graduate,Yes,Semiurban,Not Approved
3210,5985,166,36,0,Male,No,0,Graduate,Yes,Rural,Approved
7015,9687,314,60,0,Female,No,0,Not Graduate,Yes,Urban,Not Approved
9379,3632,406,60,1,Male,No,1,Graduate,Yes,Rural,Approved
6511,7060,147,360,0,Male,No,3+,Not Graduate,No,Rural,Not Approved
6042,1574,423,36,0,Male,No,1,Graduate,Yes,Rural,Approved
15461,3630,287,36,1,Male,Yes,1,Graduate,No,Urban,Approved
5605,2602,76,12,0,Female,No,3+,Not Graduate,Yes,Urban,Approved
16307,8067,349,120,1,Female,Yes,0,Not Graduate,Yes,Semiurban,Approved
19549,4599,373,360,1,Male,No,1,Not Graduate,Yes,Urban,Approved
2747,363,64,60,0,Female,Yes,3+,Graduate,Yes,Urban,Approved
2349,1481,390,240,0,Female,Yes,2,Not Graduate,Yes,Urban,Not Approved
